id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
oracle:ehac.fa.us6.oraclecloud.com:20431,Williams-Sonoma,Data Analyst (Finance) Intern (6 months),Not stated,True,,Internship,,Data & ML/AI,Singapore,unknown,50,,Python; SQL,2026-09-18,date_only,2026-09-18T04:52:19Z,https://ehac.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/20431
smartrecruiters:BoschGroup:744000149982483,Bosch,"Intern, Data Analyst, Operations & Automation",Not stated,True,,Internship,,Data & ML/AI,"Singapore, , Singapore",unknown,188,,Python; SQL,2026-09-17T01:19:54.391Z,exact,2026-09-17T05:01:52Z,https://jobs.smartrecruiters.com/BoschGroup/744000149982483
smartrecruiters:BoschGroup:744000150014319,Bosch,"Intern, AI Research",Not stated,True,,Internship,,Data & ML/AI,"Singapore, , Singapore",unknown,188,,Python; C++; TensorFlow,2026-09-17T06:03:32.674Z,exact,2026-09-17T13:41:02Z,https://jobs.smartrecruiters.com/BoschGroup/744000150014319
smartrecruiters:BoschGroup:744000150014379,Bosch,"Intern, Data Analyst, Operations & Automation",Not stated,True,,Internship,,Data & ML/AI,"Singapore, , Singapore",unknown,188,,Python; SQL,2026-09-17T06:04:18.436Z,exact,2026-09-17T13:41:02Z,https://jobs.smartrecruiters.com/BoschGroup/744000150014379
workday:marinabaysands:/job/Marina-Bay-Sands-Singapore/Inter--Software-Quality-Assurance_JR10006968,Marinabaysands,"Intern, Software Quality Assurance",Not stated,True,,Internship,,Software,"Marina Bay Sands, Singapore",unknown,,,,2026-09-17T00:00:00Z,date_only,2026-09-17T13:41:02Z,https://marinabaysands.wd102.myworkdayjobs.com/external/job/Marina-Bay-Sands-Singapore/Inter--Software-Quality-Assurance_JR10006968
workday:micron:/job/Fab-10NX-Singapore/Intern--Facilities-AI-Engineering_JR111170,Micron Technology,"Intern, Facilities AI Engineering",Not stated,True,,Internship,,Data & ML/AI,"Fab 10N/X, Singapore",unknown,489,,Python; LLMs; Tableau,2026-09-17T00:00:00Z,date_only,2026-09-17T13:41:02Z,https://micron.wd1.myworkdayjobs.com/External/job/Fab-10NX-Singapore/Intern--Facilities-AI-Engineering_JR111170
workday:motorolasolutions:/job/Penang-Malaysia/Software-Engineer-Intern_R68829,Motorola,Software Engineer Intern,Not stated,True,,Internship,,Software,"Penang, Malaysia",unknown,,,Java; C++; Kotlin,2026-09-17T00:00:00Z,date_only,2026-09-17T05:01:52Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Penang-Malaysia/Software-Engineer-Intern_R68829
workday:pwc:/job/Singapore---Marina-One/Risk-Services---AI-Factory-Data-Scientist-Off-Cycle-Internship--Jan---Jun-27-_741281WD,PricewaterhouseCoopers (PwC),Risk Services - Program Management (AI Hub) Off-Cycle Internship (Jan - Jun 27),Not stated,True,,Internship,,Data & ML/AI,Singapore - Marina One,unknown,,,Java; C++; LLMs,2026-09-17T00:00:00Z,date_only,2026-09-17T05:01:52Z,https://pwc.wd3.myworkdayjobs.com/Global_Campus_Careers/job/Singapore---Marina-One/Risk-Services---AI-Factory-Data-Scientist-Off-Cycle-Internship--Jan---Jun-27-_741281WD
ashby:goventi:52c162ad-20c4-4db0-ae4f-cc4d1218bc67,Goventi,C++ Software Engineer Intern (Control),Not stated,True,,Internship,,Software,Singapore,unknown,,,C++; Linux,2026-09-16T07:39:46.013+00:00,exact,2026-09-16T13:46:09Z,https://jobs.ashbyhq.com/goventi/52c162ad-20c4-4db0-ae4f-cc4d1218bc67
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100985,Autodesk,"Intern, Software Development Engineer [PSET-Access-ENG]",Summer 2027,False,,Internship,,Software,"Singapore, SGP",unknown,343,,Python; C++; Rust; Bash,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100985
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100986,Autodesk,"Intern, Software Development Engineer [PSET-Access-ENG]",Summer 2027,False,,Internship,,Software,"Singapore, SGP",unknown,343,,Java; Go; SQL; AWS; GCP; Azure; Git,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100986
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100987-1,Autodesk,"Intern, Software Development Engineer [PSET-Access-ENG]",Fall 2026,False,,Internship,,Software,"Singapore, SGP",unknown,343,,Python; Java; C++; C#; AWS,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100987-1
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100988,Autodesk,"Intern, Software Development Engineer [PSET-Access-ENG]",Summer 2027,False,,Internship,,Software,"Singapore, SGP",unknown,343,,Python; Java; C++; C#; AWS; PostgreSQL; MongoDB,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100988
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100989,Autodesk,"Intern, Software Development Engineer [PSET-Access-ENG]",Summer 2027,False,,Internship,,Software,"Singapore, SGP",unknown,343,,Python; C++; Linux,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Access-ENG-_26WD100989
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Connected-Delivery-_26WD100995,Autodesk,"Intern, Software Development Engineer [PSET-Connected Delivery]",Summer 2027,False,,Internship,,Software,"Singapore, SGP",unknown,343,,Python; C++; React; Angular; Linux,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Connected-Delivery-_26WD100995
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Localization-_26WD100997,Autodesk,"Intern, Software Development Engineer [PSET-Localization]",Summer 2027,False,,Internship,,Software,"Singapore, SGP",unknown,343,,Python; Java; JavaScript; SQL; LLMs; Node.js; Angular; AWS,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Localization-_26WD100997
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Localization-_26WD100998-1,Autodesk,"Intern, Software Development Engineer [PSET-Localization]",Summer 2027,False,,Internship,,Software,"Singapore, SGP",unknown,343,,Python; LLMs; AWS; Docker; Git,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Localization-_26WD100998-1
workday:autodesk:/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Product-Data-Files---Derivatives-_26WD100984,Autodesk,"Intern, Software Development Engineer [PSET - Product Data -  Document Management]",Summer 2027,False,,Internship,,Data & ML/AI,"Singapore, SGP",unknown,343,,Python; Java; SQL; GraphQL; AWS; GCP; Azure,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Singapore-SGP/Intern--Software-Development-Engineer--PSET-Product-Data-Files---Derivatives-_26WD100984
workday:micron:/job/Fab-10NX-Singapore/Intern---NAND-Device-Engineering-AI_JR112107,Micron Technology,Intern - NAND Device Engineering AI,Not stated,True,,Internship,,Data & ML/AI,"Fab 10N/X, Singapore",unknown,489,,Python; PyTorch; TensorFlow; scikit-learn; Pandas; LLMs,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://micron.wd1.myworkdayjobs.com/External/job/Fab-10NX-Singapore/Intern---NAND-Device-Engineering-AI_JR112107
workday:razer:/job/Singapore/AI-Data-Engineer-Intern_JR2026007475-1,Razer,AI Data Engineer Intern,Not stated,True,,Internship,,Data & ML/AI,Singapore,unknown,,,Python; SQL; AWS; GCP; Terraform; Airflow; dbt; Tableau,2026-09-15T00:00:00Z,date_only,2026-09-15T13:40:29Z,https://razer.wd3.myworkdayjobs.com/Careers/job/Singapore/AI-Data-Engineer-Intern_JR2026007475-1
workday:tencent:/job/Singapore-CapitaSky/Backend-Development-Intern--6-months-_R108169,Tencent,Backend Development Intern (6 months),Not stated,True,,Internship,,Software,Singapore-CapitaSky,unknown,,,Java; SQL; LLMs; Spring; Git; Redis,2026-09-15T00:00:00Z,date_only,2026-09-15T19:58:26Z,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Backend-Development-Intern--6-months-_R108169
greenhouse:applovin:4713038006,AppLovin,Machine Learning Engineering Intern (2027 Summer Internship),Summer 2027,False,,Internship,,Data & ML/AI,Singapore,unknown,40,,Python; PyTorch; TensorFlow,2026-09-14T22:20:54-04:00,exact,2026-09-15T05:03:58Z,https://boards.greenhouse.io/applovin/jobs/4713038006?gh_jid=4713038006
smartrecruiters:BoschGroup:744000149233579,Bosch,[BD] Software Test Engineer Intern (6-month Internship),Not stated,True,,Internship,,Software,"Thành phố Hồ Chí Minh, Hồ Chí Minh, Vietnam",unknown,188,,,2026-09-14T03:48:09.083Z,exact,2026-09-14T05:05:09Z,https://jobs.smartrecruiters.com/BoschGroup/744000149233579
smartrecruiters:BoschGroup:744000149236759,Bosch,[Internship Program Q4] Embedded Software Intern (C/C++/Linux),Fall 2026,False,,Internship,,Software,"Ho Chi Minh, , Vietnam",unknown,188,,C++; Python,2026-09-14T05:00:26.022Z,exact,2026-09-14T15:16:51Z,https://jobs.smartrecruiters.com/BoschGroup/744000149236759
smartrecruiters:BoschGroup:744000149241480,Bosch,[EAA] Embedded Test Engineer Intern,Not stated,True,,Internship,,Software,"Ho Chi Minh, , Vietnam",unknown,188,,C++,2026-09-14T06:19:20.597Z,exact,2026-09-14T15:16:51Z,https://jobs.smartrecruiters.com/BoschGroup/744000149241480
workday:hitachi:/job/Ho-Chi-Minh-City-Ho-Chi-Minh-Vietnam/AI-Driven-Cloud--DevOps-Intern_R0144780,Hitachi Energy,AI-Driven Cloud/ DevOps Intern,Not stated,True,,Internship,,Data & ML/AI,"Ho Chi Minh City, Ho Chi Minh, Vietnam",unknown,,,,2026-09-14T00:00:00Z,date_only,2026-09-14T15:16:51Z,https://hitachi.wd1.myworkdayjobs.com/hitachi/job/Ho-Chi-Minh-City-Ho-Chi-Minh-Vietnam/AI-Driven-Cloud--DevOps-Intern_R0144780
workday:tencent:/job/Singapore-CapitaSky/AI-Compute-Intern_R108149,Tencent,AI Compute Intern,Not stated,True,,Internship,,Data & ML/AI,Singapore-CapitaSky,unknown,,,Python; Bash; LLMs; Linux,2026-09-14T00:00:00Z,date_only,2026-09-14T15:16:51Z,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/AI-Compute-Intern_R108149
workday:tencent:/job/Singapore-CapitaSky/Data-Engineer-Intern_R108146,Tencent,Data Engineer Intern,Not stated,True,,Internship,,Data & ML/AI,Singapore-CapitaSky,unknown,,,Python; Java; SQL; Kafka,2026-09-14T00:00:00Z,date_only,2026-09-14T15:16:51Z,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Data-Engineer-Intern_R108146
oracle:jpmc.fa.oraclecloud.com:210784061,JPMorganChase,2027 Markets Quantitative Trading & Research Associate Program – Off-Cycle Internship - Singapore,Summer 2027,False,,Internship,,Quant,Singapore,unknown,4656,,Python; Java; C++; C#; JavaScript,2026-09-13,date_only,2026-09-13T19:02:52Z,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/210784061
oracle:jpmc.fa.oraclecloud.com:210784366,JPMorganChase,2027 Markets Quantitative Trading & Research Analyst Program – Off-Cycle Internship - Singapore,Summer 2027,False,,Internship,,Quant,Singapore,unknown,4656,,Python; Java; C++; C#; JavaScript,2026-09-13,date_only,2026-09-13T19:02:52Z,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/210784366
workday:motorolasolutions:/job/Penang-Malaysia/Software-Engineer-Intern_R68790,Motorola,Software Engineer Intern,Not stated,True,,Internship,,Software,"Penang, Malaysia",unknown,,,Python; C++; Linux,2026-09-11T00:00:00Z,date_only,2026-09-11T13:07:42Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Penang-Malaysia/Software-Engineer-Intern_R68790
workday:razer:/job/Singapore/AI-Engineer-Intern_JR2026006947,Razer,AI Engineer Intern,Not stated,True,,Internship,,Data & ML/AI,Singapore,unknown,,,Python; LLMs,2026-09-11T00:00:00Z,date_only,2026-09-11T04:48:46Z,https://razer.wd3.myworkdayjobs.com/Careers/job/Singapore/AI-Engineer-Intern_JR2026006947
workday:razer:/job/Singapore/Product-Developer-Intern_JR2026007822,Razer,Product Developer Intern,Not stated,True,,Internship,,Software,Singapore,unknown,,,LLMs; Tableau,2026-09-11T00:00:00Z,date_only,2026-09-11T04:48:46Z,https://razer.wd3.myworkdayjobs.com/Careers/job/Singapore/Product-Developer-Intern_JR2026007822
workday:razer:/job/Singapore/Software-Engineer-Intern_JR2026007809,Razer,Software Engineer Intern,Not stated,True,,Internship,,Software,Singapore,unknown,,,Python; TypeScript; JavaScript; React; Flask; AWS; Kubernetes; Docker,2026-09-11T00:00:00Z,date_only,2026-09-11T04:48:46Z,https://razer.wd3.myworkdayjobs.com/Careers/job/Singapore/Software-Engineer-Intern_JR2026007809
smartrecruiters:BoschGroup:744000148655057,Bosch,[SX/BSV-VN] Embedded Test Engineer Intern,Not stated,True,,Internship,,Software,"Ha Noi, , Vietnam",unknown,188,,Python; Linux,2026-09-10T01:40:48.979Z,exact,2026-09-10T04:52:01Z,https://jobs.smartrecruiters.com/BoschGroup/744000148655057
workday:mufgub:/job/Singapore-Office-OCC/Cyber-Security-Architecture---Engineering-Intern_10079342-WD,Mufgub,Cyber Security Architecture & Engineering Intern,Not stated,True,,Internship,,Security,Singapore Office OCC,unknown,,,LLMs,2026-09-10T00:00:00Z,date_only,2026-09-10T13:09:11Z,https://mufgub.wd3.myworkdayjobs.com/MUFG-EarlyCareers/job/Singapore-Office-OCC/Cyber-Security-Architecture---Engineering-Intern_10079342-WD
workday:mufgub:/job/Singapore-Office-OCC/Cyber-Security-Threat-Detection---Incident-Response-Intern_10079338-WD,Mufgub,Cyber Security Threat Detection & Incident Response Intern,Not stated,True,,Internship,,Security,Singapore Office OCC,unknown,,,Python; LLMs,2026-09-10T00:00:00Z,date_only,2026-09-10T13:09:11Z,https://mufgub.wd3.myworkdayjobs.com/MUFG-EarlyCareers/job/Singapore-Office-OCC/Cyber-Security-Threat-Detection---Incident-Response-Intern_10079338-WD
smartrecruiters:BoschGroup:744000148364924,Bosch,Internship in IT Solution Developer,Fall 2026,False,,Internship,,Software,"Batu Kawan, Penang, Malaysia",unknown,188,,Python; JavaScript; SQL,2026-09-09T00:35:41.243Z,exact,2026-09-09T04:51:38Z,https://jobs.smartrecruiters.com/BoschGroup/744000148364924
smartrecruiters:BoschGroup:744000148366240,Bosch,[Internship Program Q4] Embedded Software Intern (C/C++/Linux),Fall 2026,False,,Internship,,Software,"Ho Chi Minh, , Vietnam",unknown,188,,C++; Python,2026-09-09T00:58:14.226Z,exact,2026-09-09T04:51:38Z,https://jobs.smartrecruiters.com/BoschGroup/744000148366240
smartrecruiters:grab:744000148399141,Grab,"Intern, Software Engineer Mobile",Not stated,True,,Internship,,Software,"Petaling Jaya, , Malaysia",unknown,,,Python; Java; C++; Swift; Kotlin; Git,2026-09-09T02:21:12.846Z,exact,2026-09-09T04:51:38Z,https://jobs.smartrecruiters.com/grab/744000148399141
workday:intel:/job/Malaysia-Kulim/System-Software-Engineering-Intern_JR0286933,Intel,System Software Engineering Intern,Not stated,True,,Internship,,Software,"Malaysia, Kulim",unknown,4758,,Python; C++,2026-09-09T00:00:00Z,date_only,2026-09-09T04:51:38Z,https://intel.wd1.myworkdayjobs.com/external/job/Malaysia-Kulim/System-Software-Engineering-Intern_JR0286933
workday:thales:/job/Singapore/Software-Engineer-Intern_R0339658,Thales,Software Engineer Intern,Not stated,True,,Internship,,Software,Singapore,unknown,,,Java; TypeScript; Angular; HTML/CSS; Spring; Kubernetes; Git; Kafka,2026-09-09T00:00:00Z,date_only,2026-09-09T13:15:06Z,https://thales.wd3.myworkdayjobs.com/careers/job/Singapore/Software-Engineer-Intern_R0339658
workday:trendmicro:/job/Manila/Cybersecurity-Intern_R0005760,Trend Micro,Cybersecurity Intern,Not stated,True,,Internship,,Security,Manila,unknown,22,,Python,2026-09-09T00:00:00Z,date_only,2026-09-09T13:15:06Z,https://trendmicro.wd3.myworkdayjobs.com/External/job/Manila/Cybersecurity-Intern_R0005760
workday:trendmicro:/job/Manila/Global-Infrastructure-Services-Intern_R0009489,Trend Micro,Global Infrastructure Services Intern,Not stated,True,,Internship,,Software,Manila,unknown,22,,,2026-09-09T00:00:00Z,date_only,2026-09-09T13:15:06Z,https://trendmicro.wd3.myworkdayjobs.com/External/job/Manila/Global-Infrastructure-Services-Intern_R0009489
workday:amat:/job/SingaporeSGP/Customer-Engineer---Data-Science---ML-DevOps-Internship_R2626447,Applied Materials,Customer Engineer - Data Science / ML DevOps Internship,Not stated,True,,Internship,,Data & ML/AI,"Singapore,SGP",unknown,650,,Python,2026-09-08T00:00:00Z,date_only,2026-09-08T13:06:02Z,https://amat.wd1.myworkdayjobs.com/External/job/SingaporeSGP/Customer-Engineer---Data-Science---ML-DevOps-Internship_R2626447
workday:hp:/job/Singapore-South-West-Singapore/College-Intern---AI-Transformation_UNI4908-1,Hewlett Packard (HP),College Intern - AI Transformation,Not stated,True,,Internship,,Data & ML/AI,"Singapore, South West, Singapore",unknown,,,,2026-09-08T00:00:00Z,date_only,2026-09-09T04:51:38Z,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Singapore-South-West-Singapore/College-Intern---AI-Transformation_UNI4908-1
workday:hpe:/job/Singapore-Central-Singapore-Singapore/AI-and-Machine-Learning-Intern_1213583,Hewlett Packard Enterprise,AI and Machine Learning Intern,Not stated,True,,Internship,,Data & ML/AI,"Singapore, Central Singapore, Singapore",unknown,499,,LLMs,2026-09-08T00:00:00Z,date_only,2026-09-08T13:06:02Z,https://hpe.wd5.myworkdayjobs.com/Jobsathpe/job/Singapore-Central-Singapore-Singapore/AI-and-Machine-Learning-Intern_1213583
workday:hpe:/job/Singapore-Central-Singapore-Singapore/Embedded-Software--Firmware--Internship_1213618,Hewlett Packard Enterprise,Embedded Software (Firmware) Internship,Not stated,True,,Internship,,Hardware,"Singapore, Central Singapore, Singapore",unknown,499,,,2026-09-08T00:00:00Z,date_only,2026-09-08T13:06:02Z,https://hpe.wd5.myworkdayjobs.com/Jobsathpe/job/Singapore-Central-Singapore-Singapore/Embedded-Software--Firmware--Internship_1213618
workday:intel:/job/Malaysia-Kulim/DevOps-and-Software-Engineering-Intern_JR0286934,Intel,DevOps and Software Engineering Intern,Not stated,True,,Internship,,Software,"Malaysia, Kulim",unknown,4758,,Python; Java; C#; JavaScript; AWS; GCP; Azure; Kubernetes,2026-09-08T00:00:00Z,date_only,2026-09-08T19:42:44Z,https://intel.wd1.myworkdayjobs.com/external/job/Malaysia-Kulim/DevOps-and-Software-Engineering-Intern_JR0286934
workday:micron:/job/MSB-Singapore/Intern---STPG-PE-FIrmware_JR111318,Micron Technology,Intern - STPG PE Firmware,Not stated,True,,Internship,,Hardware,"MSB, Singapore",unknown,489,,Python; C++; LLMs,2026-09-08T00:00:00Z,date_only,2026-09-08T13:06:02Z,https://micron.wd1.myworkdayjobs.com/External/job/MSB-Singapore/Intern---STPG-PE-FIrmware_JR111318
ashby:cantina:16c7915e-9fd7-413f-b7ee-590589fbdc01,Cantina,Machine Learning Intern,Fall 2026,False,,Internship,,Data & ML/AI,Singapore,unknown,,,Python; Computer Vision; AWS; GCP; Azure; Kubernetes; Docker; Spark,2026-09-07T07:22:53.368+00:00,exact,2026-09-07T14:31:03Z,https://jobs.ashbyhq.com/cantina/16c7915e-9fd7-413f-b7ee-590589fbdc01
ashby:sierra:eb8e8b58-394b-43f0-b9bd-4f1407d9aa17,Sierra,"Software Engineer Intern, Agent (Summer 2027)",Summer 2027,False,,Internship,,Software,Singapore,unknown,,,TypeScript; LLMs; React,2026-09-07T01:56:26.806+00:00,exact,2026-09-09T22:47:51Z,https://jobs.ashbyhq.com/sierra/eb8e8b58-394b-43f0-b9bd-4f1407d9aa17
greenhouse:stripe:8130883,Stripe,"Software Engineer, Intern",Not stated,True,,Internship,,Software,Singapore,unknown,441,,Java; JavaScript; Scala; Ruby,2026-09-07T01:44:20-04:00,exact,2026-09-07T14:31:03Z,https://stripe.com/jobs/search?gh_jid=8130883
smartrecruiters:BoschGroup:744000147750000,Bosch,[Bosch HcP - Internship] Industrial AI Engineer Intern,Not stated,True,,Internship,,Data & ML/AI,"An Phuoc Commune, Dong Nai, Vietnam",unknown,188,,Python; SQL; PyTorch; TensorFlow; LLMs; Computer Vision; Flask; Docker,2026-09-07T02:04:57.613Z,exact,2026-09-07T04:45:06Z,https://jobs.smartrecruiters.com/BoschGroup/744000147750000
workday:bpinternational:/job/Malaysia---Kuala-Lumpur/Summer-Internship-Technology-Data---AI--Malaysia_RQ115469-2,BP,Summer Internship-Technology-Data & AI- Malaysia,Not stated,True,,Internship,,Data & ML/AI,Malaysia - Kuala Lumpur,unknown,,,Python; Java; C#; SQL; Git,2026-09-07T00:00:00Z,date_only,2026-09-06T18:31:14Z,https://bpinternational.wd3.myworkdayjobs.com/bpCareers/job/Malaysia---Kuala-Lumpur/Summer-Internship-Technology-Data---AI--Malaysia_RQ115469-2
workday:hitachi:/job/Ho-Chi-Minh-City-Ho-Chi-Minh-Vietnam/AI-Driven-Full-Stack-Intern_R0142916,Hitachi Energy,AI-Driven Full Stack Intern,Not stated,True,,Internship,,Data & ML/AI,"Ho Chi Minh City, Ho Chi Minh, Vietnam",unknown,,,Python; Java; C#; LLMs; React; Angular; Vue; AWS,2026-09-07T00:00:00Z,date_only,2026-09-07T04:45:06Z,https://hitachi.wd1.myworkdayjobs.com/hitachi/job/Ho-Chi-Minh-City-Ho-Chi-Minh-Vietnam/AI-Driven-Full-Stack-Intern_R0142916
workday:intel:/job/Malaysia-Kulim/Intern-System-Software-Development-Engineer_JR0286935,Intel,Intern System Software Development Engineer,Not stated,True,,Internship,,Software,"Malaysia, Kulim",unknown,4758,,Python; C#; SQL; Angular; Kubernetes; PostgreSQL,2026-09-07T00:00:00Z,date_only,2026-09-07T14:31:03Z,https://intel.wd1.myworkdayjobs.com/external/job/Malaysia-Kulim/Intern-System-Software-Development-Engineer_JR0286935
